Decision-Making Model Based on Ensemble Method in Auxiliary Medical System for Non-Small Cell Lung Cancer,H. Chen; W. Xiong; J. Wu; Q. Zhuang; G. Yu,"School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science, Jiangxi University of Traditional Chinese Medicine, Nanchang, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China",IEEE Access,28-Sep-20,2020,8,,171903,171911,"In many countries, lung cancer is the chief cancer type, and the overall survival rate in 5 years remains at a low rate of 16.8%. Among lung cancer patients, the proportion of patients with non-small cell lung cancer (NSCLC) can reach 85%. Especially in developing countries, it has become a great challenge for doctors to diagnose efficiently because of the complex diagnostic process of NSCLC, a large number of patients, and limited medical resources. Based on the above situation, our main objective in this study is to construct an auxiliary Artificial Intelligence medical system for doctors to diagnose the NSCLC patients efficiently. In this research, we select the combination of Support Vector Machine (SVM) and Artificial Neural Network (ANN) to complete the classification and training tasks of the medical system. In this study, we trained and tested our decision model based on the data information of 12,186 patients in three hospitals in China. The results of this experiment show that the accuracy of our system has reached 88% when the amount of data reaches 4000, which is close to that of doctors.",2169-3536,,10.1109/ACCESS.2020.3024840,"National Natural Science Foundation of China(grant numbers:61672540,61762051); Hunan Provincial Natural Science Foundation of China(grant numbers:2018JJ3299,2018JJ3682); Fundamental Research Funds for the Central Universities of Central South University(grant numbers:2019zzts152); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200569,Big data;diagnostic parameters;machine learning model;medical decision making;NSCLC,Medical diagnostic imaging;Cancer;Tumors;Support vector machines;Lung,cancer;decision making;lung;neural nets;patient diagnosis;support vector machines,decision-making model;auxiliary medical system;nonsmall cell lung cancer;chief cancer type;survival rate;lung cancer patients;limited medical resources;NSCLC patients;auxiliary artificial intelligence medical system;ensemble method;support vector machine;SVM;artificial neural network;ANN;China,,2,,33,CCBY,18-Sep-20,,,IEEE,IEEE Journals
Deep Neural Network With Consistency Regularization of Multi-Output Channels for Improved Tumor Detection and Delineation,H. Seo; L. Yu; H. Ren; X. Li; L. Shen; L. Xing,"Center for Bionics, Biomedical Research Institute, Korea Institute of Science and Technology (KIST), Seoul, South Korea; Department of Statistics and Actuarial Science, The University of Hong Kong, Hong Kong; Department of Radiation Oncology, Stanford University, Stanford, CA, USA; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong; Department of Radiation Oncology, Stanford University, Stanford, CA, USA; Department of Radiation Oncology, Stanford University, Stanford, CA, USA",IEEE Transactions on Medical Imaging,30-Nov-21,2021,40,12,3369,3378,"Deep learning is becoming an indispensable tool for imaging applications, such as image segmentation, classification, and detection. In this work, we reformulate a standard deep learning problem into a new neural network architecture with multi-output channels, which reflects different facets of the objective, and apply the deep neural network to improve the performance of image segmentation. By adding one or more interrelated auxiliary-output channels, we impose an effective consistency regularization for the main task of pixelated classification (i.e., image segmentation). Specifically, multi-output-channel consistency regularization is realized by residual learning via additive paths that connect main-output channel and auxiliary-output channels in the network. The method is evaluated on the detection and delineation of lung and liver tumors with public data. The results clearly show that multi-output-channel consistency implemented by residual learning improves the standard deep neural network. The proposed framework is quite broad and should find widespread applications in various deep learning problems.",1558-254X,,10.1109/TMI.2021.3084748,"Korea Institute of Science and Technology(grant numbers:2E31122,2K02540,2E31071); National Cancer Institute(grant numbers:1R01CA227713); Google Faculty Research Award the Stanford Bio-X Bowes Graduate Student Fellowship; Human-Centered Artificial Intelligence of Stanford University; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443209,Artificial intelligence;cancer detection;neural networks;regularization;residual learning;segmentation,Image segmentation;Task analysis;Tumors;Training;Biomedical imaging;Neural networks;Feature extraction,image classification;image segmentation;learning (artificial intelligence);liver;lung;neural nets;tumours,image segmentation;multioutput-channel consistency regularization;residual learning;main-output channel;auxiliary-output channels;standard deep neural network;deep learning problems;multioutput channels;improved tumor detection;imaging applications;standard deep learning problem;neural network architecture;effective consistency regularization,"Humans;Image Processing, Computer-Assisted;Neoplasms;Neural Networks, Computer",2,,65,IEEE,28-May-21,,,IEEE,IEEE Journals
Integrating Lung Parenchyma Segmentation and Nodule Detection With Deep Multi-Task Learning,W. Liu; X. Liu; H. Li; M. Li; X. Zhao; Z. Zhu,"Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Department of Computer Science, Brunel University London, Uxbridge, Middlesex, U.K.; Department of Imaging Diagnosis Chinese, Cancer Hospital, Academy of Medical Sciences, Beijing, China; Department of Imaging Diagnosis Chinese, Cancer Hospital, Academy of Medical Sciences, Beijing, China",IEEE Journal of Biomedical and Health Informatics,5-Aug-21,2021,25,8,3073,3081,"Lung parenchyma segmentation is valuable for improving the performance of lung nodule detection in computed tomography (CT) images. Traditionally, the two tasks are performed separately. This paper proposes a deep multi-task learning (MTL) approach to integrate these tasks for better lung nodule detection. Three new ideas lead to our proposed approach. First, lung parenchyma segmentation is used as the attention module and is combined with nodule detection in a single deep network. Second, lung nodule detection is performed in an anchor-free manner by dividing it into two subtasks, nodule center identification and nodule size regression. Third, a novel pyramid dilated convolution block (PDCB) is proposed to utilize the advantage of dilated convolution and tackle its gridding problem for better lung parenchyma segmentation. Based on these ideas, we design our end-to-end deep network architecture and corresponding MTL method to achieve lung parenchyma segmentation and nodule detection simultaneously. We evaluate the proposed approach on the commonly used Lung Nodule Analysis 2016 (LUNA16) dataset. The experimental results show the value of our contributions and demonstrate that our approach can yield significant improvements compared with state-of-the-art counterparts.",2168-2208,,10.1109/JBHI.2021.3053023,"Beijing Municipal Science, and Technology Project(grant numbers:Z181100001918002); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9329031,Deep convolutional networks;lung nodule detection;lung paranchyma segmentation;multi-tasking learning,Lung;Image segmentation;Convolution;Computed tomography;Task analysis;Feature extraction;Three-dimensional displays,computerised tomography;image segmentation;learning (artificial intelligence);lung;medical image processing,lung nodule detection;nodule center identification;nodule size regression;lung parenchyma segmentation;commonly used Lung Nodule Analysis 2016 dataset;deep multitask learning,"Humans;Lung;Lung Neoplasms;Tomography, X-Ray Computed",2,,51,IEEE,20-Jan-21,,,IEEE,IEEE Journals
Pulmonary Nodule Classification Using Feature and Ensemble Learning-Based Fusion Techniques,M. Muzammil; I. Ali; I. U. Haq; A. A. Khaliq; S. Abdullah,"Faculty of Engineering and Technology, International Islamic University, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Pakistan",IEEE Access,18-Aug-21,2021,9,,113415,113427,"The Pulmonary nodule indicates the presence of lung cancer. The deep convolutional neural networks (DCNNs) have been widely used to classify the pulmonary nodule as benign or malignant. However, an individual learner usually performs unsatisfactorily due to limited response space, incorrect selection of hypothesis space, or falling into local minimums. To investigate these issues, we propose ensemble learners fusion techniques based on averaging of prediction score and maximum vote score (MAX-VOTE). First, the support vector machine (SVM) and AdaBoostM2 machine learning algorithms are trained on the deep features from DCNNs. The results of both classifiers are fused separately based on averaging of the prediction score. Secondly, the feature fusion technique is developed by fusing the feature of three DCNNs (AlexNet, VGG-16 and VGG-19) through predefined rules. After that, the SVM and AdaBoostM2 are trained on fused features independently to build ensemble learners by fusing the multiple DCNN learners. The predictions of all DCNN learners are fused based on the MAX-VOTE. The results show that the ensemble learners based MAX-VOTE technique yields better performance out of twelve single learners for binary class classification of pulmonary nodules. The proposed fusion techniques are also tested for multi-class classification problem. The SVM based feature fusion technique performs better as compared to all the implemented and the state-of-the-art techniques. The achieved maximum accuracy, AUC and specificity scores are 96.89%±0.25, 99.21%±0.10 and 97.70%±0.21, respectively.",2169-3536,,10.1109/ACCESS.2021.3102707,Higher Education Commission(grant numbers:20-4849/NRPU/R&D/HEC/14/1215); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9507437,Deep convolutional neural network;computer aided diagnosis;computed tomography;pulmonary nodule;deep features;deep feature fusion;ensemble learner;support vector machine;nodule classification;LUNA16 challenge,Lung;Feature extraction;Lung cancer;Tumors;Support vector machines;Computed tomography;Cancer,cancer;feature extraction;image classification;image fusion;learning (artificial intelligence);lung;medical image processing;neural nets;pattern classification;support vector machines,Pulmonary nodule classification;ensemble learning-based fusion techniques;lung cancer;deep convolutional neural networks;DCNNs;individual learner;response space;hypothesis space;ensemble learners fusion techniques;prediction score;maximum vote score;SVM;deep features;feature fusion technique;VGG-16;VGG-19;AdaBoostM2;fused features;multiple DCNN learners;MAX-VOTE technique;single learners;binary class classification;multiclass classification problem;specificity scores,,2,,72,CCBY,5-Aug-21,,,IEEE,IEEE Journals
Pulmonary Nodule Detection Based on Faster R-CNN With Adaptive Anchor Box,C. C. Nguyen; G. S. Tran; V. T. Nguyen; J. -C. Burie; T. P. Nghiem,"ICTLab, University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology, Cau Giay, Vietnam; ICTLab, University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology, Cau Giay, Vietnam; Department of Radiology, Vietnam National Cancer Hospital, Hanoi, Vietnam; L3i Laboratory, La Rochelle University, La Rochelle, France; ICTLab, University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology, Cau Giay, Vietnam",IEEE Access,24-Nov-21,2021,9,,154740,154751,"Early pulmonary nodule detection is very important in lung cancer diagnosis and screening. Most state-of-the-art lung nodule detection models are based on Faster Region-based Convolutional Neural Network (Faster R-CNN) due to its superior performance. However, this object detection approach faces difficulties with the variety of nodule sizes in training datasets. In this paper, we propose a novel Computer-Aided Detection (CAD) system based on Faster R-CNN model with adaptive anchor box for lung nodule detection. Our method employs ground-truth nodule sizes in the training dataset to generate adaptive anchor box sizes of Faster R-CNN. Learned anchors are used as hyper-parameter to boost Faster R-CNN’s detection performance. A residual convolutional neural network is proposed to reduce false positives from Faster R-CNN’s output. Our method is trained and tested on the largest publicly available LUNA16 dataset. Experiments show that our proposed system achieves a high sensitivity of 95.64% at 1.72 false positives per scan, and a Competition Performance Metric (CPM) score of 88.2%, which outperforms other recent state-of-the-art detection methods. The false positive reduction network achieves a sensitivity of 93.8%, specificity of 97.6% and accuracy of 95.7%. An additional evaluation on a completely independent SPIE-AAPM dataset demonstrates the generalization of our proposed model with 89.3% sensitivity.",2169-3536,,10.1109/ACCESS.2021.3128942,University of Science and Technology of Hanoi(grant numbers:USTH.ICT.01/20-22); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619980,Pulmonary nodules;CT~images;deep learning;faster R-CNN;anchor box,Lung;Sensitivity;Computed tomography;Three-dimensional displays;Feature extraction;Lung cancer;Proposals,CAD;cancer;computerised tomography;diagnostic radiography;learning (artificial intelligence);lung;medical image processing;neural nets;object detection,screening;state-of-the-art lung nodule detection models;Faster Region-based Convolutional Neural Network;object detection approach;nodule sizes;training dataset;novel Computer-Aided Detection system;Faster R-CNN model;ground-truth nodule;adaptive anchor box sizes;learned anchors;Faster R-CNN's detection performance;residual convolutional neural network;false positives;Faster R-CNN's output;largest publicly available LUNA16 dataset;recent state-of-the-art detection methods;false positive reduction network;pulmonary nodule detection;lung cancer diagnosis,,2,,50,CCBY,18-Nov-21,,,IEEE,IEEE Journals
Coarse-to-Fine Lung Nodule Segmentation in CT Images With Image Enhancement and Dual-Branch Network,Z. Wu; Q. Zhou; F. Wang,"Shanghai Key Laboratory of Multidimensional Information Processing, School of Computer Science and Technology, East China Normal University, Shanghai, China; Shanghai Chest Hospital, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, School of Computer Science and Technology, East China Normal University, Shanghai, China",IEEE Access,12-Jan-21,2021,9,,7255,7262,"Lung nodule segmentation in CT images plays an important role in clinical diagnosis and treatment of lung cancers. Among different types of nodules, the solitary nodules usually have clear boundaries and the segmentation is relatively easy, while the segmentation of non-solitary nodules with ambiguous boundaries remains challenging for both human and computer. In this paper, we propose a coarse-to-fine lung nodule segmentation method by combining image enhancement and a Dual-branch neural network. First, we preprocess the image to enhance the discrimination of the nodules and roughly locate the lesion area so that we can eliminate the noises from background and focus on learning the features around the boundaries. Second, we propose a Dual-branch network based on U-Net (DB U-Net) which can effectively explore information from both 2D slices and the relationships between neighboring slices for more precise and consistent segmentation. In addition, we construct a dataset which is mainly composed of non-solitary nodules. The proposed image enhancement method improves the effectiveness of network learning, while the dual-branch neural network explores multi-view information. The Dice coefficients of nodule segmentation on the LIDC dataset and our own dataset are 83.16% and 81.97% respectively, which significantly outperforms the existing works.",2169-3536,,10.1109/ACCESS.2021.3049379,National Natural and Science Foundations of China(grant numbers:61375016); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314141,CT image;dual-branch network;image enhancement;lung nodule segmentation;non-solitary nodule,Lung;Image segmentation;Computed tomography;Lesions;Image enhancement;Feature extraction;Task analysis,cancer;computerised tomography;image enhancement;image segmentation;learning (artificial intelligence);lung;medical image processing;neural nets,CT images;lung cancers;nonsolitary nodules;ambiguous boundaries;dual-branch neural network;image enhancement;network learning;coarse-fine lung nodule segmentation;U-Net;Dice coefficients,,1,,34,CCBYNCND,5-Jan-21,,,IEEE,IEEE Journals
Pulmonary Nodule Detection Using 3-D Residual U-Net Oriented Context-Guided Attention and Multi-Branch Classification Network,H. Yuan; Y. Wu; J. Cheng; Z. Fan; Z. Zeng,"Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China",IEEE Access,4-Jan-22,2022,10,,82,98,"Accurate detection of pulmonary nodules on chest computed tomography scans is crucial to early diagnosis of lung cancer. To address the thorn problems on low detection sensitivity and high false-positive rate caused by heterogeneity and morphological complexity of 3-D nodule features, a computer-aided detection system is developed to increase the detection sensitivity and classification accuracy of pulmonary nodules. The contributions include: (1) Nodule candidate detection: 3-D Residual U-Net model is improved to detect candidate nodules, which constructs 3-D context-guided module to extract local and global nodule features by setting the dilated convolution with different dilation rates. Furthermore, channel attention mechanism is used to dynamically adjust the channel features, which enhances the generalization and expression ability of the detection-network to effectively learn 3-D spatial context features. (2) False-positive reduction: multi-branch classification network is designed for multi-task learning. Image reconstruction task is performed to retain more microscopic nodules information from convolutional neural network (CNN) hierarchy. Moreover, each branch deals with the feature map at corresponding depth layers, and then all branches’ feature maps are combined together to perform nodule classification task. Numerous experimental results show that the proposed system is perfectly qualified for pulmonary nodules detection on Lung Nodules Analysis 2016 dataset, which achieves detection sensitivity up to 94.0% and competition performance metric (CPM) score up to 0.959.",2169-3536,,10.1109/ACCESS.2021.3137317,Beijing Natural Science Foundation(grant numbers:4172010); National Natural Science Foundation of China(grant numbers:61001049); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9661331,3-D context-guided attention module;multi-task learning;multi-branch classification;convolutional neural network;pulmonary nodule detection,Feature extraction;Lung;Three-dimensional displays;Lung cancer;Convolutional neural networks;Computed tomography;Tumors,cancer;computerised tomography;convolutional neural nets;feature extraction;image classification;image reconstruction;learning (artificial intelligence);lung;medical image processing;object detection,pulmonary nodule detection;multibranch classification network;chest computed tomography scans;detection sensitivity;false-positive rate;computer-aided detection system;candidate nodules;dilation rates;channel attention mechanism;detection-network;3-D spatial context features;multitask learning;microscopic nodules information;convolutional neural network hierarchy;feature map;nodule classification task;Lung Nodules Analysis 2016 dataset;3-D residual U-Net oriented context-guided attention;lung cancer;dilated convolution;false-positive reduction;image reconstruction task;depth layers;competition performance metric score;local nodule feature extraction;global nodule feature extraction,,1,,46,CCBYNCND,23-Dec-21,,,IEEE,IEEE Journals
Attention-Guided Feature Extraction and Multiscale Feature Fusion 3D ResNet for Automated Pulmonary Nodule Detection,G. Zhang; H. Zhang; Y. Yao; Q. Shen,"Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Hainan Normal University, Hainan, China; Army Engineering University of PLA, Nanjing, China",IEEE Access,15-Jun-22,2022,10,,61530,61543,"Automatic detection of pulmonary nodules is critical for the early diagnosis and prevention of lung cancer. Computed tomography (CT) is an effective and economical lung cancer detection method. In CT images, the size and shape of pulmonary nodules appear different, and some nodules appear similar to the surrounding tissues. Therefore, the automatic localization of pulmonary nodules in CT images is a challenging task. An attention-embedded three-dimensional convolutional neural network is proposed for pulmonary nodule detection in the current study. Specifically, 1) channel-spatial attention guides 3D ResNet to down sample the input 3D CT patch. The channel pays attention to important features and the space to the region of interest. The two form a complementary feature extraction mechanism to effectively help the global flow of information in the network and refine the feature mapping to extract the nodule context features. 2) The channel-spatial attention module changes the fusion model of the feature pyramid, adaptively adjusts the pixel-level weight between features and extracts multi-scale representative node features. 3) The deep separable convolution is used to replace the standard convolution of ResNet, reducing the time cost and improving the efficiency of model training on the premise of ensuring the model’s performance. 4) To adapt the distribution of nodule scale, different characteristic layers correspond to two sizes of anchors. Under the condition of ensuring the detection rate of nodules, the number of anchor frames is reduced, and the network sensitivity is improved. Finally, several ablation experiments are carried out using the LUNA16 dataset. The results revealed that the attention-guided network could extract the multi-scale representative features of nodules, and the average sensitivity was 97.7%. Additionally, the CMP score reached 0.912. The extensive experiments demonstrate that the proposed approach can effectively improve the detection sensitivity and control the number of false positive nodules, which has clinical application value and a certain reference value.",2169-3536,,10.1109/ACCESS.2022.3182104,"Education Department of Hainan Province(grant numbers:Hnky2021ZD-12); Natural Science Foundation of Hainan Province(grant numbers:621RC1060); Specific Research Fund of The Innovation Platform for Academicians of Hainan Province;; Key Laboratory of Data Science and Intelligence Education, Ministry of Education, Hainan Normal University, Haikou, China; National Natural Science Foundation of China(grant numbers:62162025); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793637,Channel-spatial attention mechanism;multi-scale features;pulmonary nodule;computed tomography scan;medical computer vision,Feature extraction;Lung;Lung cancer;Three-dimensional displays;Computed tomography;Tumors;Adaptation models,cancer;computerised tomography;feature extraction;image classification;image segmentation;lung;medical image processing;neural nets;object detection,automatic detection;pulmonary nodules;effective lung cancer detection method;economical lung cancer detection method;CT images;attention-embedded three-dimensional convolutional neural network;complementary feature extraction mechanism;feature mapping;nodule context features;channel-spatial attention module;feature pyramid;nodule scale;detection rate;attention-guided network;multiscale representative features;detection sensitivity;false positive nodules;multiscale feature fusion 3D resnet;automated pulmonary nodule detection,,,,35,CCBY,10-Jun-22,,,IEEE,IEEE Journals
Automatic Lung Nodule Segmentation and Intra-Nodular Heterogeneity Image Generation,J. Song; S. -C. Huang; B. Kelly; G. Liao; J. Shi; N. Wu; W. Li; Z. Liu; L. Cui; M. P. Lungre; M. E. Moseley; P. Gao; J. Tian; K. W. Yeom,"College of Health Management, China Medical University, Shenyang, Liaoning, China; School of Medicine Stanford University, Stanford, CA, USA; School of Medicine Stanford University, Stanford, CA, USA; Department of Hepatobiliary Surgery Foshan Hospital, Southern Medical University, Foshan, Guangdong, China; Department of Radiology, Shanghai Pulmonary Hospital, Shanghai, China; National Cancer Center&#x002F;Cancer Hospital, Chinese Academy of Medical Sciences, Beijing, China; Department of Respiratory and Critical Care Medicine, West China Hospital, Chengdu, Sichuan, China; Department of Radiology Guangdong General Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China; College of Health Management, China Medical University, Shenyang, Liaoning, China; School of Medicine Stanford University, Stanford, CA, USA; School of Medicine Stanford University, Stanford, CA, USA; First Affiliated Hospital of China Medical University, Shenyang, Liaoning, China; Beijing University of Aeronautics and Astronautics, Beijing, China; School of Medicine Stanford University, Stanford, CA, USA",IEEE Journal of Biomedical and Health Informatics,3-Jun-22,2022,26,6,2570,2581,"Automatic segmentation of lung nodules on computed tomography (CT) images is challenging owing to the variability of morphology, location, and intensity. In addition, few segmentation methods can capture intra-nodular heterogeneity to assist lung nodule diagnosis. In this study, we propose an end-to-end architecture to perform fully automated segmentation of multiple types of lung nodules and generate intra-nodular heterogeneity images for clinical use. To this end, a hybrid loss is considered by introducing a Faster R-CNN model based on generalized intersection over union loss in generative adversarial network. The Lung Image Database Consortium image collection dataset, comprising 2,635 lung nodules, was combined with 3,200 lung nodules from five hospitals for this study. Compared with manual segmentation by radiologists, the proposed model obtained an average dice coefficient (DC) of 82.05% on the test dataset. Compared with <italic>U-net</italic>, <italic>NoduleNet</italic>, <italic>nnU-net</italic>, and other three models, the proposed method achieved comparable performance on lung nodule segmentation and generated more vivid and valid intra-nodular heterogeneity images, which are beneficial in radiological diagnosis. In an external test of 91 patients from another hospital, the proposed model achieved an average DC of 81.61%. The proposed method effectively addresses the challenges of inevitable human interaction and additional pre-processing procedures in the existing solutions for lung nodule segmentation. In addition, the results show that the intra-nodular heterogeneity images generated by the proposed model are suitable to facilitate lung nodule diagnosis in radiology.",2168-2208,,10.1109/JBHI.2021.3135647,China Scholarship Council; National Natural Science Foundation of China(grant numbers:82001904); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652062,Computed tomography;generative adversarial network;generalized intersection over union;intra-nodular heterogeneity;lung nodule segmentation,Lung;Image segmentation;Biomedical imaging;Computed tomography;Hospitals;Manuals;Solids,cancer;computerised tomography;convolutional neural nets;image segmentation;lung;medical image processing,lung nodule diagnosis;computed tomography images;segmentation methods;end-to-end architecture;fully automated segmentation;manual segmentation;automatic lung nodule segmentation;intranodular heterogeneity Image generation;lung image database consortium image collection dataset;R-CNN model;generative adversarial network;dice coefficient;radiological diagnosis;human interaction,"Databases, Factual;Humans;Image Processing, Computer-Assisted;Lung;Lung Neoplasms;Thorax;Tomography, X-Ray Computed",,,43,CCBYNCND,15-Dec-21,,,IEEE,IEEE Journals
Classification of Benign and Malignant Pulmonary Nodules Based on the Multiresolution 3D DPSECN Model and Semisupervised Clustering,S. Tang; R. Ma; Q. Li; Y. Bai; S. Chen,"Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China; Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; Department of Respiratory, Zhuji People&#x2019;s Hospital of Zhejiang Province, Zhuji, China",IEEE Access,22-Mar-21,2021,9,,43397,43410,"Deep learning model training requires a large number of labeled samples, but the acquisition of labeled samples is time-consuming and laborious in the medical field. To solve this problem, a semisupervised clustering algorithm combined with a 3D convolutional neural network model is proposed to improve the classification performance for benign and malignant pulmonary nodules. The research contents are as follows: Firstly, a multiresolution 3D dual path squeeze excitation deep learning network model is constructed. Then, the feature extractor in the network model is used to extract the high-level features of the image, and semisupervised clustering is applied to the extracted image features. The corresponding pseudolabels can be obtained for the unlabeled samples, and the categories of unlabeled samples are determined and utilized. Finally, the oversampling algorithm is used to balance the data categories of different types of samples, and the benign and malignant pulmonary nodules are classified by a classifier constructed by a 3D dual path squeeze excitation network. The experimental results show that the proposed semisupervised clustering algorithm can label the categories of unlabeled samples. The proposed network model can learn more characteristics related to pulmonary nodules and can effectively improve the classification performance of pulmonary nodules. The proposed network model was tested using Lung Image Database Consortium (LIDC-IDRI) dataset, and an accuracy of 94.4% and an AUC of 0.931 were obtained. Compared with some existing classification models, the proposed method can achieve a better classification effect of pulmonary nodules.",2169-3536,,10.1109/ACCESS.2021.3060178,Baotou Medical and Health Science and Technology in 2019(grant numbers:wsjj2019040); Inner Mongolia Natural Science Foundation(grant numbers:2020MS06001); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9357428,Deep learning;benign and malignant classification of pulmonary nodules;semisupervised clustering algorithm;multiresolution 3D dual path squeeze excitation deep learning network model;LIDC-IDRI dataset,Lung;Feature extraction;Three-dimensional displays;Image resolution;Data models;Training;Solid modeling,cancer;computerised tomography;convolutional neural nets;deep learning (artificial intelligence);feature extraction;image classification;image resolution;lung;medical image processing;pattern clustering;sampling methods,semisupervised clustering;3D convolutional neural network;malignant pulmonary nodules classification;feature extractor;high-level features;image feature extraction;3D dual path squeeze excitation network;CT images;LIDC-IDRI;Lung Image Database Consortium dataset;classifier;data categories;oversampling algorithm;pseudolabels;benign pulmonary nodules classification;multiresolution 3D dual path squeeze excitation deep learning network;multiresolution 3D DPSECN;deep learning model training;classification effect,,,,28,CCBY,18-Feb-21,,,IEEE,IEEE Journals
Comprehensive and Comparative Global and Local Feature Extraction Framework for Lung Cancer Detection Using CT Scan Images,M. A. Alzubaidi; M. Otoom; H. Jaradat,"Department of Computer Engineering, Yarmouk University, Irbid, Jordan; Department of Computer Engineering, Yarmouk University, Irbid, Jordan; Department of Computer Engineering, Yarmouk University, Irbid, Jordan",IEEE Access,6-Dec-21,2021,9,,158140,158154,"Lung cancer is reported to be the second most common cancer disease. This paper proposes a comprehensive and comparative global and local feature extraction framework for lung cancer detection using CT scan images. This framework consists of three main phases: data collection, global training and testing, and local training and testing. A set of 1000 CT scan images is used in this study. During the global training and testing phase, the collected images are preprocessed through image warping and cropping. Global features are then extracted from images to represent each image with feature vectors, using ten different image feature types. The feature vectors are then used to build detection models with six different machine learning algorithms. In the local training and testing phase, each image is divided into a set of local blocks. Those feature types that performed well in the global phase are then extracted from each of these blocks, to represent each block with feature vectors. These feature vectors are then used to build detection models for all of the image blocks, using the learning algorithms that performed well in the global phase. The results show that the Gabor Filter, the Histogram of Oriented Gradients (HOG), and the Haar Wavelet feature types outperformed the other seven feature types. The results also show that Support Vector Machine (SVM) outperforms the other five learning algorithms. Of most importance, the proposed local feature extraction approach outperforms the traditional global one. In the local phase, using SVM with Haar Wavelet features achieved 90% accuracy, 88% sensitivity, and 91% specificity. Using SVM with HOG features achieved 88% accuracy, 85% sensitivity, and 89% specificity. Finally, using SVM with Gabor Filter features achieved the best accuracy, sensitivity, and specificity rates of 97%, 96%, and 97%, respectively.",2169-3536,,10.1109/ACCESS.2021.3129597,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622257,CT scan;lung cancer;global feature extraction;local feature extraction;SVM;Gabor filter,Lung cancer;Feature extraction;Computed tomography;Lung;Cancer;Support vector machines;Tumors,cancer;computerised tomography;diseases;feature extraction;Gabor filters;image classification;learning (artificial intelligence);lung;medical image processing;support vector machines;wavelet transforms,local phase;Haar Wavelet features;HOG features;Gabor Filter features;comparative global feature extraction framework;local feature extraction framework;lung cancer detection;common cancer disease;comprehensive feature extraction framework;global training;local training;1000 CT scan images;testing phase;image warping;cropping;global features;feature vectors;different image feature types;detection models;local blocks;global phase;image blocks;Haar Wavelet feature types;seven feature types;local feature extraction approach,,,,61,CCBY,19-Nov-21,,,IEEE,IEEE Journals
